index_,en,es,ca
comp.entry_action_buttons.not_logged_in.text,You can submit observations but they need to be reviewed before they get published. In addition to that their privacy is automatically set to public and their license is set to (CC0) - No Rights reserved/public domain. ,"Puedes enviar observaciones pero seran revisadas antes de que se publiquen. Además de eso, tu privacidad se establece automáticamente en pública y tu licencia se establece en (CC0) - Sin derechos reservados / dominio público.","Pots enviar observacions però seran revisades abans que es publiquin. A més d'això, la teva privacitat s'estableix automàticament en pública i la teva llicència s'estableix en (CC0) - Sense drets reservats / domini públic."
comp.entry_action_buttons.not_logged_in.cc_ref_text,Read more about CC0.,Leer más sobre CC0.,Llegir més sobre CC0.
comp.entries_download_dialog.dialog_header,Download entries,Descargar entradas,Descarregar entrades
comp.entries_download_dialog.template_aspect_label,Select which entry type to download,,
comp.entries_download_dialog.data_aspect.label,Only metadata / Complete data,,
comp.entries_download_dialog.data_aspect.items.0,Metadata,Metadatos,Metadades
comp.entries_download_dialog.data_aspect.items.1,Complete entries,,
comp.entry_validation.h1,Validation,Validación,Validació
comp.entry_validation.has_missing,Missing or incomplete aspects:,Aspectos ausentes o incompletos:,Aspectes absents o incomplets:
comp.entry_validation.has_missing_t,"Incomplete entries cannot be submitted. Please, add the missing information or save your entry as a draft.","No se pueden enviar contribuciones incompletas. Por favor, añade la información que falta o guarde su contribución como borrador.","No es poden enviar contribucions incompletes. Si us plau, afegeix la informació que falta o guarda la teva contribució com a esborrany. HO HE POSAT EN SEGONA PERSONA."
comp.entry_validation.ok,All values in this entry are ok.,Todos los valores de esta contribución están bien.,Tots els valors d'aquesta contribució estan bé.
comp.entry_validation.msgs.missing,{aspect_label} missing,{aspect_label} desaparecido,{aspect_label} desaparegut
comp.entry_validation.msgs.list_not_enough,{aspect_label} requires more {item_name},{aspect_label} requiere más {item_name},{aspect_label} requereix més {item_name}
comp.entry_validation.msgs.composite_incomplete,  is not complete: missing components: {invalid_components_msgs},No está completo: faltan componentes: {invalid_components_msgs},No està complet: falten components: {invalid_components_msgs}
comp.entry_validation.msgs.listitem_incomplete,{aspect_label} has at least one incomplete item: {invalid_item_msgs},{aspect_label} tiene al menos un elemento incompleto: {invalid_item_msgs},{aspect_label} té almenys un element incomplet: {invalid_item_msgs}
comp.external_account_asp.not_given,No account given,No has dado una cuenta,No has donat un compte
comp.external_account_asp.not_valid,Invalid id,id inválido,id invàlid
comp.filters.tag.label,@:w.tag,@:w.tag,@:w.tag
comp.filters.tag.description,Start selecting the general tag type. Then select multiple specific tags that you would like to include in your search. Any entry that includes at least one of the selected tags will be included in the result.,Comienza por seleccionar la etiqueta general. Luego selecciona múltiples etiquetas específicas que quieras incluir en tu búsqueda. Cualquier contribución que incluya al menos una de las etiquetas seleccionadas se mostrará en el resultado.,Comença per seleccionar l'etiqueta general. Després selecciona múltiples etiquetes específiques que vulguis incloure en la teva cerca. Qualsevol contribució que inclogui almenys una de les etiquetes seleccionades es mostrarà en el resultat.
comp.filterlist.appliead_filters,Applied filters,Filtros aplicados,Filtres aplicats
comp.filterlist.btn_add_filter,add filter,agregar filtro,afegir filtre
comp.global_role.admin,Admin,Admin,Admin
comp.global_role.editor,Editor,Editor/a,Editor a
comp.global_role.user,User,Usuario/a,Usuari/a
comp.global_role.visitor,Visitor,Visitante,Visitant
comp.image_asp.no_images,No images,Sin imágenes,Sense imatges
comp.image_asp.cover_image,cover image,imagen de portada,Imatge de portada
comp.image_asp.not_found,Image could not be loaded,No se pudo cargar la imagen,No s'ha pogut carregar la imatge
comp.image_asp.not_found_draft,Image has been removed,La imagen ha sido eliminada,La imatge ha estat eliminada
comp.image_asp.add_image,@:w.add_item,@:w.add_item,@:w.add_item
comp.language_select.label,@.capitalize:w.language,@.capitalize:w.language,@.capitalize:w.language
comp.language_select.change_not_possible,You cannot change the @:w.language on this page.,No puedes cambiar el idioma de esta página,No pots canviar l'idioma d'aquesta pàgina
comp.language_select.language_changed,@.capitalize:w.language changed to {language_name},Idioma cambiado a {language_name},Llenguatge canviat a {language_name}
comp.language_select.domain_language_changed,@.capitalize:w.language for entries changed to {language_name},Idioma de las entradas cambiado a {language_name},Idioma de les entrades canviat a {language_name}
comp.legend.legend,Legend,Leyenda,Llegenda
comp.list_asp.add,@:w.add_item,@:w.add_item,@:w.add_item
comp.list_asp.actions.delete_item,delete {item_name},eliminar {item_name},eliminar {item_name}
comp.list_asp.actions.move_down,move down,mover abajo,moure avall
comp.list_asp.actions.move_up,move up,mover arriba,moure amunt
comp.location_asp.descr,Search for a place or click on the map to set the location,Busca un lugar o haga clic en el mapa para establecer la ubicación,Busca un lloc o fes clic al mapa per establir la ubicació
comp.location_asp.no_loc,No location,Sin ubicación,Sense ubicació
comp.location_asp.offline,You cannot set the location while beeing offline,No puedes establecer la ubicación si estás fuera de línea,No pots establir la ubicació si estàs fora de línia
comp.location_asp.option_region,The location's administrative unit (region).,Unidad administrativa (región) de la ubicación.,Unitat administrativa (regió) de la ubicació.
comp.location_asp.show entries,Show my entries,Mostrar mis entradas,Mostra les meves entrades
comp.location_asp.public_loc.base,Public location,Ubicación publica,Ubicació pública
comp.location_asp.public_loc.change_default_setting,Change your default settings for your public location:,Camba tus ajustes por defecto para tu ubicación pública,Canvia la teva configuració per defecte per a la teva ubicació pública
comp.location_asp.public_loc.change,change public location,Cambia tu ubicación pública,Canvia la teva ubicació pública
comp.location_asp.public_loc.options.rnd,"The exact location is not visible, but a randomly moved location (max.50km) (yellow marker).","La ubicación exacta no es visible, en cambio se verá una ubicación movida aleatoriamente (máximo 50 km, marcador amarillo).","La ubicació exacta no és visible, en canvi es veurà una ubicació moguda aleatòriament (màxim 50 km, marcador groc)."
comp.location_asp.public_loc.options.exact,The exact location will be visible.,La ubicación exacta será visible,La ubicació exacta serà visible
comp.location_asp.public_loc.options.region,The location's administrative unit (region) will be visible (yellow marker).,La unidad administrativa de la ubicación (región) será visible (marcador amarillo).,La unitat administrativa de la ubicació (regió) serà visible (marcador groc).
comp.map_wrapper.locations,@:w.n_locations,@:w.n_locations,@:w.n_locations
comp.map_wrapper.several_countries,Several countries,Varios países,Diversos països
comp.map_wrapper.layer_asp.label,Visible layers,Capas visibles,Capes visibles
comp.menu.home,Home,Inicio,Inici
comp.menu.profile,Profile,Perfil,Perfil
comp.menu.map,Map,Mapa,Mapa
comp.menu.login,@.capitalize:w.login,@.capitalize:w.login,@.capitalize:w.login
comp.menu.logout,Logout,Cerrar sesión,Tancar sessió
comp.menu.register,@.capitalize:w.register,@.capitalize:w.register,@.capitalize:w.register
comp.menu.users,Users,Usuarios,Usuaris
comp.menu.translate,Translate,Traducir,Traduir
comp.menu.admin,Admin,Admin,Admin
comp.menu.user_guide,User guide,Guia de usuario,Guia d'usuari/a
comp.menu.about,About,Acerca de,Sobre
comp.menu.tests,Test,Prueba,Prova
comp.menu.offline_settings,Offline Settings,Ajustes fuera de línea,Ajustaments fora de línia
comp.menucontainer.tab_main,Main,Principal,Principal
comp.menucontainer.tab_domain,Entries,Entradas,Entrades
comp.message_translation.index,index,índice,índex
comp.min_max_indicator.min,min: {number},min: {number},min: {number}
comp.min_max_indicator.max,max: {number},max: {number},max: {number}
comp.min_max_indicator.required,Required: {number},Requerido: {number},Requerit: {number}
comp.multiselect_asp.min_rule,not enough items selected,no se han seleccionado suficientes elementos,no s'han seleccionat prou elements
comp.multiselect_asp.max_rule,too many items selected,demasiados elementos selecionados,massa elements seleccionats
comp.notification_banner.complete_profile,Complete your Profile,Completa tu perfil,Completa el teu perfil
comp.notification_banner.complete_domain_aspects,Answer some {domain_name} related questions,Responde algunas preguntas relacionadas con {domain_name},Respon a unes preguntes relacionades amb {domain_name}
comp.oauth_login.h,Sign in with...,Entra con...,Entra amb ...
comp.oauth_login.DEPR_sign_in_with,Sign in with {service},Entra con {service},Entra amb {service}
comp.previewlist.num_entries,@:w.n_entries,@:w.n_entries,@:w.n_entries
comp.previewlist.filter_change_hint,Try changing the language or entry type filter,Intenta cambiar el idioma o los filtros,Proba a canviar l'idioma o els filtres
comp.privacy_notification.h,Your Privacy,Tu privacidad,La teva privacitat
comp.privacy_notification.p,"We only use functional cookies for security but no 3rd party cookies. We only store the data that you directly provide in your user profile or in the entries you create or contribute to. <a href=""/about#privacy"">Read our privacy policy for more information.</a>","No utilizamos cookies ni incluimos cookies de terceros. Solo almacenamos los datos que tu proporcionas directamente en tu perfil de usuario o en las entradas que creas o en que contribuyes. <a href=""/about#privacy""> Lea nuestra política de privacidad para obtener más información. </a>","No utilitzem cookies ni incloem galetes de tercers. Només emmagatzemem les dades que proporciones directament al teu perfil d'usuari o en les entrades que crees o en les que contribueixes. <a href=""/about#privacy""""> Llegiu la nostra política de privacitat per obtenir més informació. </a>"""
comp.privacy_notification.btn,Thank you,Gracias,Gràcies
comp.search.txt_field_label,@.capitalize:w.search,@.capitalize:w.search,@.capitalize:w.search
comp.search.min_chars_rule,type 4 characters to trigger search,Escribe 4 caracteres para activar la búsqueda,Escriu 4 caràcters per activar la recerca
comp.search.search_filter,Search & Filter,Buscar y filtrar,Cercar i filtrar
comp.select_asp.descr,@.capitalize:w.description,@.capitalize:w.description,@.capitalize:w.description
comp.select_asp.no_options,nothing to select from,no hay nada para seleccionar,no hi ha res per seleccionar
comp.simple_paginate.page,page,página,pàgina
comp.simple_paginate.prev,previous,previo,previ
comp.simple_paginate.next,next,siguiente,següent
comp.snackbar.something_went_wrong,Something went wrong,Algo salió mal,Quelcom ha fallat
comp.tagoptions_asp.used_in,Used in: ,utilizado en:,utilitzat en:
comp.tags.tag,tag | tags,etiqueta | etiquetas,etiqueta | etiquetes
comp.translate.start,start,inicio,inici
comp.translate.from_csv,From csv,De csv,De csv
comp.translate.component_select_asp.label,Part of the platform,Parte de la plataforma,Part de la plataforma
comp.translate.component_select_asp.description,Which part do you want to translate?,Qué parte quieres traducir?,Quina part vols traduir?
comp.translate.component_select_asp.options.fe,User interface,Interfaz de usuario,Interfície d'usuari
comp.translate.component_select_asp.options.be,Server messages,Mensajes del sevidor,Missatges del servidor
comp.translate.component_select_asp.options.domain,@.capitalize:w.domain info,Información de @:w.domain,Informació de @:w.domain
comp.translate.component_select_asp.options.entries,Entrytypes and codes,Tipos de entrada y códigos,Tipus d'entrada i codis
comp.translate.entry_select_asp.label,Entrytype or code,Tipos de entrada o códigos,Tipus d'entrada o codis
comp.translate.entry_select_asp.description,Select the entrytype or code to translate,Selecciona un tipo de entrada o código para traducir,Selecciona un tipus d'entrada o codi per traduir
comp.translate.src_lang.label,Source @:w.language,@.capitalize:w.language fuente,@.capitalize:w.language font
comp.translate.src_lang.descr,From which @:w.language are you translating from?,Desde qué @:w.language estas traduciendo?,Des de quin @:w.language estàs traduint?
comp.translate.dest_lang.label,Destination @:w.language,@.capitalize:w.language de destino,@.capitalize:w.language destí
comp.translate.dest_lang.descr,Which language do you want to help completing?,Qué @:w.language quieres ayudar a completar?,Quin @:w.language vols ajudar a completar?
comp.translate.lang_status.label,@:w.language status,Estatus del @:w.language,Estatus de l'@:w.language
comp.translate.lang_status.description,Only Active @:w.languages are available to be selected as interface @:w.language,Sólo los @:w.languages activos pueden selecionarse como idioma de interfaz,Només els @:w.languages actius poden selecionar-se com a idioma d'interfície
comp.translate.lang_status.active,active,activo,actiu
comp.translate.lang_status.inactive,inactive,inactivo,inactiu
comp.translate.new.new_lang,Add another @:w.language,Añade otro @:w.language,Afegeix un altre @:w.language
comp.translate.new.descr,Which @:w.language do you want to add?,Qué @:w.language quieres añadir?,Quin @:w.language vols afegir?
comp.translate.new.get_in_touch,"If you cannot find the @:w.language get in touch with us, we will make it happen!","Si no encuentras el @:w.language contáctanos, haremos que suceda!","Si no trobes l'@:w.language contacta'ns, farem que hi sigui!"
comp.translate.new.add,Add @:w.language,Añade @:w.language,Afegeix @:w.language
comp.treeselect_asp.click_to_select,Click to select,Clica para seleccionar,Fes clic per seleccionar
comp.treeselect_asp.select_another_value,Select another value,,
comp.treeleaf_picker.current,Current selection,Selección actual,Selecció actual
mixin.init.logged_out,You are logged out,Estás desconectado,Estàs desconnectat
w.login,login,iniciar sesión,iniciar sessió
w.close,close,cerrar,tanca
w.register,register,registrarse,registrar-se
w.search,search,buscar ,buscar
w.entries,entries,contribuciones ,contribucions
w.n_entries,No entries | {n} entry | {n} entries,Sin entradas | {n} entrada | {n} entradas,Sense entrades | {N} entrada | {N} entrades
w.language,language,Idioma,Idioma
w.languages,languages,Idiomas,Idiomes
w.languages_,@:w.language | @:w.languages,@:w.language | @:w.languages,@:w.language | @:w.languages
w.location,Location,Ubicación,Ubicació
w.n_locations,No locations | {n} location | {n} locations,Sin ubicaciones | {n} ubicación | {n} ubicaciones,Sense ubicacions | {N} ubicació | {N} ubicacions
w.description,description,descripción,descripció
w.domain,domain,dominio,domini
w.domains,domains,dominios,dominis
w.download,download,descargar,descarregar
w.update,update,actualizar,actualitzar
w.delete,delete,eliminar,eliminar
w.username,Username,Nombre de usuario,Nom d'usuari
w.back,back,atrás,enrere
w.license,license,Licencia,llicència
w.status,status,estatus,estat
w.submit,submit,enviar,enviar
w.view,view,ver,veure
w.edit,edit,editar,editar
w.done,done,listo,llest
w.save,save,guardar,guardar
w.settings,settings,ajustes,ajustos
w.cancel,cancel,cancelar,cancel·lar
w.entrytype,Entry type,Tipo de entrada,Tipus d'entrada
w.tag,Tag,Etiqueta,Etiqueta
w.add_item,add {item_name},agregar {item_name},afegir {item_name}
w.review_required,Requires review,Requiere revisión,Requereix revisió
w._global.asp_location_privacy.labal,Location privacy,Privacidad de la ubicación,Privacitat de la ubicació
w._global.asp_location_privacy.descr,Specify the settings for the protection of the exact locations of your entries,Especifica la configuración para la protección de las ubicaciones exactas de sus entradas,Especifica la configuració per a la protecció de les ubicacions exactes de les teves entrades
